Fecha,Precipitacion
01/01/1975,63.5
01/02/1975,208.2
01/03/1975,206.1
01/04/1975,119.7
01/05/1975,160.1
01/06/1975,50.1
01/07/1975,134.7
01/08/1975,46.4
01/09/1975,44.5
01/10/1975,157.8
01/11/1975,95.3
01/12/1975,51.3
01/01/1976,74.2
01/02/1976,84.6
01/03/1976,153
01/04/1976,92.8
01/05/1976,122.3
01/06/1976,30.2
01/07/1976,1.4
01/08/1976,1.4
01/09/1976,41.2
01/10/1976,80.3
01/11/1976,90.2
01/12/1976,130.4
01/01/1977,70.6
01/02/1977,33.1
01/03/1977,142.6
01/04/1977,87.2
01/05/1977,73.8
01/06/1977,50.5
01/07/1977,9.5
01/08/1977,18.2
01/09/1977,119.6
01/10/1977,107.2
01/11/1977,19.4
01/12/1977,117.5
01/01/1978,58.8
01/02/1978,80
01/03/1978,81.6
01/04/1978,115.5
01/05/1978,75.5
01/06/1978,13.5
01/07/1978,72.6
01/08/1978,3.2
01/09/1978,118.8
01/10/1978,21.3
01/11/1978,75.5
01/12/1978,91.1
01/01/1979,51.8
01/02/1979,43.1
01/03/1979,119
01/04/1979,131.4
01/05/1979,169.5
01/06/1979,74.8
01/07/1979,9.3
01/08/1979,76
01/09/1979,154.8
01/10/1979,46.5
01/11/1979,51.5
01/12/1979,3.5
01/01/1980,110.3
01/02/1980,233.6
01/03/1980,70.8
01/04/1980,116.8
01/05/1980,28.6
01/06/1980,27.6
01/07/1980,6.6
01/08/1980,14.7
01/09/1980,67.3
01/10/1980,134.7
01/11/1980,134.9
01/12/1980,70.6
01/01/1981,9.6
01/02/1981,108.6
01/03/1981,152
01/04/1981,200.8
01/05/1981,57.6
01/06/1981,25.6
01/07/1981,14.9
01/08/1981,56.8
01/09/1981,38.6
01/10/1981,85
01/11/1981,83.4
01/12/1981,112.9
01/01/1982,140.9
01/02/1982,73.8
01/03/1982,103.6
01/04/1982,148.3
01/05/1982,158.8
01/06/1982,5.5
01/07/1982,38
01/08/1982,2.7
01/09/1982,66.6
01/10/1982,195.5
01/11/1982,149.5
01/12/1982,207.6
01/01/1983,95.7
01/02/1983,70.1
01/03/1983,254.7
01/04/1983,209.5
01/05/1983,115.2
01/06/1983,26.8
01/07/1983,6
01/08/1983,69.6
