Fecha,Temperatura
01/01/1975,13.5
01/02/1975,12.8
01/03/1975,13.3
01/04/1975,13.7
01/05/1975,13.5
01/06/1975,13.5
01/07/1975,12.3
01/08/1975,13.1
01/09/1975,13.1
01/10/1975,12.8
01/11/1975,12.6
01/12/1975,12.7
01/01/1976,12.9
01/02/1976,13
01/03/1976,13.5
01/04/1976,13.7
01/05/1976,13.8
01/06/1976,13.6
01/07/1976,14.2
01/08/1976,14
01/09/1976,14.8
01/10/1976,13.6
01/11/1976,13.8
01/12/1976,13.8
01/01/1977,14.4
01/02/1977,13.9
01/03/1977,15
01/04/1977,14.2
01/05/1977,14.2
01/06/1977,13.7
01/07/1977,14.8
01/08/1977,14.5
01/09/1977,15
01/10/1977,14.3
01/11/1977,14.5
01/12/1977,15.7
01/01/1978,14.4
01/02/1978,15.4
01/03/1978,14.4
01/04/1978,14.2
01/05/1978,14.6
01/06/1978,14.6
01/07/1978,14.4
01/08/1978,15
01/09/1978,14.4
01/10/1978,14.4
01/11/1978,15.2
01/12/1978,14.2
01/01/1979,14.4
01/02/1979,14.7
01/03/1979,14.2
01/04/1979,14.8
01/05/1979,14.5
01/06/1979,14.7
01/07/1979,14.9
01/08/1979,14.8
01/09/1979,14.2
01/10/1979,14.7
01/11/1979,14.5
01/12/1979,14.7
01/01/1980,15.1
01/02/1980,13.8
01/03/1980,15.3
01/04/1980,14.7
01/05/1980,15.2
01/06/1980,15.2
01/07/1980,15
01/08/1980,15.3
01/09/1980,15.6
01/10/1980,14.8
01/11/1980,14
01/12/1980,14.3
01/01/1981,14.6
01/02/1981,14.5
01/03/1981,14.5
01/04/1981,14.7
01/05/1981,14.4
01/06/1981,14.5
01/07/1981,14.1
01/08/1981,14.8
01/09/1981,15.2
01/10/1981,15
01/11/1981,14.2
01/12/1981,14.8
01/01/1982,13.9
01/02/1982,14.5
01/03/1982,14.6
01/04/1982,14.3
01/05/1982,14.4
01/06/1982,15.3
01/07/1982,14.9
01/08/1982,15.8
01/09/1982,15.1
01/10/1982,14
01/11/1982,14.4
01/12/1982,14.5
01/01/1983,15.6
01/02/1983,15.5
01/03/1983,15.1
01/04/1983,14.7
01/05/1983,15.2
01/06/1983,14.8
01/07/1983,14.9
01/08/1983,15.3
01/09/1983,14.9
01/10/1983,14.5
01/11/1983,15.1
01/12/1983,13.5
01/01/1984,13
01/02/1984,13.1
01/03/1984,14.1
01/04/1984,13.7
01/05/1984,13.6
01/06/1984,14
01/07/1984,13.9
01/08/1984,15
01/09/1984,13.6
01/10/1984,13.9
01/11/1984,13.7
01/12/1984,14.8
01/01/1985,13.6
01/02/1985,14.3
01/03/1985,13.5
01/04/1985,14.1
01/05/1985,14.4
01/06/1985,14.4
01/07/1985,13.4
01/08/1985,13.3
01/09/1985,13.4
01/10/1985,14.7
01/11/1985,13.2
01/12/1985,12.9
01/01/1986,14.4
01/02/1986,13.7
01/03/1986,13.4
01/04/1986,14.6
01/05/1986,14.5
